datetime,inflow_acft
12/20/00,16658.5804
12/21/00,3134.0208
12/22/00,10539.4202
12/23/00,11239.4963
12/24/00,19030.8513
12/25/00,841.014539
12/26/00,5695.66448
12/27/00,10166.5877
12/28/00,14672.5059
12/29/00,10226.2666
12/30/00,12648.153
12/31/00,7979.49729
1/1/01,13881.9446
1/2/01,13276.1134
1/3/01,7090.17299
1/4/01,10174.1198
1/5/01,10470.2262
1/6/01,11838.0619
1/7/01,11418.0102
1/8/01,7786.3119
1/9/01,9348.07287
1/10/01,5302.1063
1/11/01,9261.59577
1/12/01,13748.9978
1/13/01,10716.4064
1/14/01,15959.6836
1/15/01,11285.5127
1/16/01,12620.3322
1/17/01,7908.39058
1/18/01,10974.7783
1/19/01,9068.89726
1/20/01,6187.6436
1/21/01,14293.1396
1/22/01,7582.17426
1/23/01,9624.7072
1/24/01,12021.0134
1/25/01,6276.91765
1/26/01,15928.7779
1/27/01,9395.68605
1/28/01,9547.95069
1/29/01,13798.0439
1/30/01,9986.57778
1/31/01,10926.887
2/1/01,13708.6569
2/2/01,8601.47675
2/3/01,6695.21147
2/4/01,15942.9717
2/5/01,9335.64379
2/6/01,12293.6932
2/7/01,3597.30092
2/8/01,9503.84354
2/9/01,15416.2788
2/10/01,12660.3019
2/11/01,10404.9243
2/12/01,12345.4666
2/13/01,7937.53692
2/14/01,12593.7021
2/15/01,14522.1754
2/16/01,12455.5396
2/17/01,15790.1052
2/18/01,6077.22783
2/19/01,12469.9293
2/20/01,6478.28755
2/21/01,16508.9212
2/22/01,10481.8216
2/23/01,13498.1431
2/24/01,11142.7675
2/25/01,18902.2086
2/26/01,13633.2416
2/27/01,15196.1995
2/28/01,15225.5155
3/1/01,18009.5288
3/2/01,17899.3761
3/3/01,17875.4957
3/4/01,15381.3175
3/5/01,14353.3236
3/6/01,13407.5509
3/7/01,16720.6608
3/8/01,13470.4391
3/9/01,11895.0052
3/10/01,20471.1869
3/11/01,14453.226
3/12/01,18160.0315
3/13/01,18073.8985
3/14/01,13849.1116
3/15/01,13679.0472
3/16/01,10552.8429
3/17/01,20856.7002
3/18/01,20241.7099
3/19/01,13869.7698
3/20/01,15607.9691
3/21/01,14505.4212
3/22/01,14936.059
3/23/01,17611.1904
3/24/01,13363.833
3/25/01,12307.8338
3/26/01,20584.0105
3/27/01,12151.3535
3/28/01,20654.8055
3/29/01,17798.7943
3/30/01,19810.6345
3/31/01,17947.6907
4/1/01,17364.1751
4/2/01,25225.8049
4/3/01,12318.8304
4/4/01,20883.6282
4/5/01,16548.0188
4/6/01,19417.7346
4/7/01,19464.571
4/8/01,14546.0607
4/9/01,11170.7317
4/10/01,23744.2776
4/11/01,23568.7205
4/12/01,16472.7522
4/13/01,19258.8295
4/14/01,20732.0671
4/15/01,21741.1651
4/16/01,18904.2592
4/17/01,17767.4272
4/18/01,13642.971
4/19/01,19324.1691
4/20/01,10858.9094
4/21/01,20877.746
4/22/01,20434.0431
4/23/01,19263.5921
4/24/01,20635.7509
4/25/01,23595.3106
4/26/01,20844.7476
4/27/01,27852.3582
4/28/01,20849.913
4/29/01,22502.7632
4/30/01,26632.6094
5/1/01,33318.806
5/2/01,25877.5759
5/3/01,34357.1938
5/4/01,33000.6754
5/5/01,40172.2336
5/6/01,48950.8683
5/7/01,42883.3154
5/8/01,41164.1144
5/9/01,37585.1138
5/10/01,34498.4956
5/11/01,37343.3029
5/12/01,32955.3089
5/13/01,37656.2554
5/14/01,28365.3714
5/15/01,41526.1758
5/16/01,62977.2531
5/17/01,57348.6646
5/18/01,76642.2415
5/19/01,70639.1646
5/20/01,74372.934
5/21/01,83571.2843
5/22/01,79643.7305
5/23/01,76986.4323
5/24/01,77131.9724
5/25/01,72973.2666
5/26/01,67302.1003
5/27/01,67729.5962
5/28/01,64443.2805
5/29/01,80261.627
5/30/01,69834.1172
5/31/01,66965.9789
6/1/01,67822.751
6/2/01,57139.3516
6/3/01,61685.0304
6/4/01,53071.4105
6/5/01,60473.9061
6/6/01,60555.2776
6/7/01,53113.9905
6/8/01,48753.5027
6/9/01,46843.0788
6/10/01,40776.3482
6/11/01,47254.7807
6/12/01,62506.2986
6/13/01,15554.8407
6/14/01,39769.5031
6/15/01,41372.9558
6/16/01,34913.3141
6/17/01,35237.8666
6/18/01,30713.3169
6/19/01,33755.3922
6/20/01,27633.5128
6/21/01,29312.4616
6/22/01,17167.1898
6/23/01,36885.521
6/24/01,15657.8223
6/25/01,20062.9598
6/26/01,32262.7662
