STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
SHA,D,6,RES ELE,20071108 0000,20071108 0000,943.95, ,FEET
SHA,D,6,RES ELE,20071109 0000,20071109 0000,943.90, ,FEET
SHA,D,6,RES ELE,20071110 0000,20071110 0000,943.85, ,FEET
SHA,D,6,RES ELE,20071111 0000,20071111 0000,943.65, ,FEET
SHA,D,6,RES ELE,20071112 0000,20071112 0000,943.43, ,FEET
SHA,D,6,RES ELE,20071113 0000,20071113 0000,943.19, ,FEET
SHA,D,6,RES ELE,20071114 0000,20071114 0000,942.94, ,FEET
SHA,D,6,RES ELE,20071115 0000,20071115 0000,942.73, ,FEET
SHA,D,6,RES ELE,20071116 0000,20071116 0000,942.57, ,FEET
SHA,D,6,RES ELE,20071117 0000,20071117 0000,942.50, ,FEET
SHA,D,6,RES ELE,20071118 0000,20071118 0000,942.37, ,FEET
SHA,D,6,RES ELE,20071119 0000,20071119 0000,942.24, ,FEET
SHA,D,6,RES ELE,20071120 0000,20071120 0000,942.16, ,FEET
SHA,D,6,RES ELE,20071121 0000,20071121 0000,941.97, ,FEET
SHA,D,6,RES ELE,20071122 0000,20071122 0000,941.93, ,FEET
SHA,D,6,RES ELE,20071123 0000,20071123 0000,941.76, ,FEET
SHA,D,6,RES ELE,20071124 0000,20071124 0000,941.61, ,FEET
SHA,D,6,RES ELE,20071125 0000,20071125 0000,941.41, ,FEET
SHA,D,6,RES ELE,20071126 0000,20071126 0000,941.22, ,FEET
SHA,D,6,RES ELE,20071127 0000,20071127 0000,941.09, ,FEET
SHA,D,6,RES ELE,20071128 0000,20071128 0000,940.98, ,FEET
SHA,D,6,RES ELE,20071129 0000,20071129 0000,940.85, ,FEET
SHA,D,6,RES ELE,20071130 0000,20071130 0000,940.80, ,FEET
SHA,D,6,RES ELE,20071201 0000,20071201 0000,940.58, ,FEET
SHA,D,6,RES ELE,20071202 0000,20071202 0000,940.46, ,FEET
SHA,D,6,RES ELE,20071203 0000,20071203 0000,940.49, ,FEET
SHA,D,6,RES ELE,20071204 0000,20071204 0000,940.50, ,FEET
SHA,D,6,RES ELE,20071205 0000,20071205 0000,940.50, ,FEET
SHA,D,6,RES ELE,20071206 0000,20071206 0000,940.62, ,FEET
SHA,D,6,RES ELE,20071207 0000,20071207 0000,940.61, ,FEET
SHA,D,6,RES ELE,20071208 0000,20071208 0000,940.59, ,FEET
SHA,D,6,RES ELE,20071209 0000,20071209 0000,940.41, ,FEET
SHA,D,6,RES ELE,20071210 0000,20071210 0000,940.32, ,FEET
SHA,D,6,RES ELE,20071211 0000,20071211 0000,940.22, ,FEET
SHA,D,6,RES ELE,20071212 0000,20071212 0000,940.13, ,FEET
SHA,D,6,RES ELE,20071213 0000,20071213 0000,940.10, ,FEET
SHA,D,6,RES ELE,20071214 0000,20071214 0000,940.02, ,FEET
SHA,D,6,RES ELE,20071215 0000,20071215 0000,940.09, ,FEET
SHA,D,6,RES ELE,20071216 0000,20071216 0000,940.14, ,FEET
SHA,D,6,RES ELE,20071217 0000,20071217 0000,940.31, ,FEET
SHA,D,6,RES ELE,20071218 0000,20071218 0000,941.56, ,FEET
SHA,D,6,RES ELE,20071219 0000,20071219 0000,942.58, ,FEET
SHA,D,6,RES ELE,20071220 0000,20071220 0000,943.53, ,FEET
SHA,D,6,RES ELE,20071221 0000,20071221 0000,943.90, ,FEET
SHA,D,6,RES ELE,20071222 0000,20071222 0000,944.00, ,FEET
